EncryptedID,Semester,GPA,TC qua,Acc
00f52aefb3c4818bf75a8875b51e22ac9f3427da2b1ac8a91a4ef70f906db777,9,3.27,11,144
00f52aefb3c4818bf75a8875b51e22ac9f3427da2b1ac8a91a4ef70f906db777,10,4.0,3,147
00f52aefb3c4818bf75a8875b51e22ac9f3427da2b1ac8a91a4ef70f906db777,11,3.5,9,156
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,1,1.75,12,12
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,2,1.43,9,21
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,3,2.0,15,36
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,4,2.8,22,58
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,5,3.29,17,75
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,6,3.33,23,98
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,7,3.48,20,118
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,8,3.19,21,139
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,9,1.75,3,142
00fbcfddad097df28ce560e3319123c816dc55b968bdf17ecd355ef8034c48c0,10,3.68,14,156
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,1,1.79,12,12
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,2,2.05,11,25
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,3,2.69,21,46
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,4,1.67,12,58
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,5,2.19,16,74
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,6,3.1,20,94
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,7,3.45,22,116
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,8,3.37,19,135
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,9,4.0,8,143
01035961d8a923832019facce4c42b506f0ca9c9dea4dd2c897dc6a985be8b81,10,4.0,12,155
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,1,1.86,12,12
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,2,1.18,8,20
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,3,1.24,11,35
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,4,1.5,12,47
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,5,1.14,8,57
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,6,2.29,14,71
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,7,2.92,16,87
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,8,3.41,22,109
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,9,3.38,16,130
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,10,3.45,11,141
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,11,0.0,0,144
01506de3a91c008f89675fa9b2ff8fd73903b2769e4045bd1c06c08a879ce6d5,12,4.0,12,156
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,1,1.0,4,4
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,2,1.29,11,15
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,3,1.29,9,24
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,4,1.17,15,39
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,5,1.74,12,56
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,6,2.21,16,72
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,7,1.95,18,92
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,8,1.65,11,103
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,9,1.29,10,113
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,10,3.07,21,134
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,11,0.0,0,134
01f726b782174c831d5e970571292a598972528c322485de70d569a23e096e3d,12,4.0,12,153
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,1,2.42,12,12
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,2,3.17,12,24
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,3,3.55,20,44
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,4,3.24,19,63
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,5,3.82,19,82
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,6,3.58,19,101
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,7,3.05,22,123
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,8,3.76,21,144
02b89553fd2c06eb649c02104f2cbf9405aab988ff25b9cd22e5897e54604e28,9,4.0,12,156
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,1,2.07,14,14
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,2,1.0,8,22
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,3,2.38,21,43
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,4,2.0,15,58
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,5,2.63,19,80
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,6,2.05,19,96
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,7,3.17,15,108
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,8,4.0,8,116
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,9,3.65,23,139
02d1f2050ffd2898470ca7556ef22f6187d808e9c76df1e0790515f4026f3c99,10,3.84,16,155
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,1,2.33,12,12
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,2,2.71,12,24
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,3,2.0,13,40
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,4,2.76,17,57
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,5,2.86,18,78
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,6,3.07,22,100
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,7,2.64,18,118
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,8,3.02,21,139
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,9,4.0,3,144
02d857e0eb73b92929fd750dd1ea01839e3886c1a69c200e29f070b274e133b8,10,3.62,12,156
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,1,1.43,8,8
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,2,1.0,8,16
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,3,2.43,18,39
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,4,1.08,12,51
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,5,1.21,14,65
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,6,1.96,11,76
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,7,2.96,23,99
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,8,2.62,24,123
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,9,3.11,14,144
02fd1eb07a264464b775ee3a15c445c0f7d78fbd1c74b313b1a8debb3c28fbd0,10,4.0,12,156
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,1,2.2,11,11
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,2,3.23,11,22
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,3,3.25,16,44
039f48a62adadbca078c0b54553d22c694c0c71721f51e1617223488ce66cc9b,4,3.38,21,65
