Semester,GPA,CPA,TC qua,Acc,Debt,Reg,Level,Warning,Missing,No count,Prog,Relative Term,EncryptedID
20171,1.29,1.29,10,10,4,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20172,0.95,1.14,9,19,6,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20181,1.29,1.21,12,31,15,46,Năm thứ nhất,Mức 1, , ,Kỹ thuật điện tử - viễn thông,3,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20182,1.42,1.31,18,49,15,64,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20191,0.94,1.29,8,59,23,82,Năm thứ hai,Mức 1, , ,Kỹ thuật điện tử - viễn thông,5,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20192,1.26,1.35,12,71,25,96,Năm thứ ba,Mức 1,PE1014;, ,Kỹ thuật điện tử - viễn thông,6,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20201,1.79,1.68,9,84,18,102,Năm thứ ba,Mức 1,PE1014;, ,Kỹ thuật điện tử - viễn thông,7,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20202,2,1.77,18,102,15,117,Năm thứ tư,Mức 0,PE1014;,"CLE4333,Tiếng Anh Aptis trình độ B1;",Kỹ thuật điện tử - viễn thông,8,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20211,3.58,2.07,18,127,8,135,Năm thứ tư,Mức 0,PE1014;,"CLE4333,Tiếng Anh Aptis trình độ B1;",Kỹ thuật điện tử - viễn thông,9,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20212,2.88,2.2,11,138,6,144,Năm thứ năm,Mức 0, ,"CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,10,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20221,2.4,2.34,9,150,6,156,Năm thứ năm,Mức 0, ,"CLS400,Tiếng Anh định hướng TOEIC 400;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,11,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20222, ,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLS400,Tiếng Anh định hướng TOEIC 400;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,12,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20231,0,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,13,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20232, ,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,14,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20241,0,2.34,0,150,6,159,Năm thứ năm,Mức 0, ,"PH1120,Vật lý đại cương II;CLE4333,Tiếng Anh Aptis trình độ B1;PE1010,Giáo dục thể chất A;",Kỹ thuật điện tử - viễn thông,15,124d69c6fe943f985926971b3055c8c435aa528ba2a8df20b564a8977ac7ee06
20171,1,1,8,8,6,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20172,1.77,1.34,11,19,6,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20181,1.67,1.68,15,40,6,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20182,1.5,1.63,15,55,9,64,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20191,2.11,2.03,21,78,2,80,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20192,2.54,2.24,22,91,2,93,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20201,3.2,2.45,22,110,2,112,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20202,1.5,2.48,2,112,0,112,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20211,3.73,2.63,15,127,0,127,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,eccd3ebd3a128bee74fc33986c193b75fe097f39a5f2f5f68216c25d6ffcda13
20171,2.71,2.71,14,14,0,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20172,1.27,2.08,11,25,0,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20181,2.21,2.14,18,43,3,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20182,1.8,2.06,9,52,9,61,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20191,2.91,2.28,16,74,6,80,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20192,3.26,2.63,19,93,0,93,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20201,3.34,2.77,22,115,0,115,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20202,3,2.79,15,130,0,132,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20211,3.45,2.86,11,143,0,143,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20212,2,2.78,12,155,3,158,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,10,134ebb6e0381f706421336c90062249e5e93dbe8dcb5d87bf9782358a3221b4c
20171,1.71,1.71,10,10,4,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20172,0.27,1.08,3,13,12,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20181,1.85,1.73,16,33,13,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20182,1,1.63,11,44,17,61,Năm thứ hai,Mức 1, , ,Kỹ thuật điện tử - viễn thông,4,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20191,2.18,1.98,17,64,8,72,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20192,1.59,2.02,10,74,9,83,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20201,1.29,2.04,8,87,11,98,Năm thứ ba,Mức 1, ,"FL0400,TOEIC 400;",Kỹ thuật điện tử - viễn thông,7,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20202,2.61,2.23,11,98,8,106,Năm thứ tư,Mức 0, ,"FL0400,TOEIC 400;",Kỹ thuật điện tử - viễn thông,8,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20211,3.17,2.5,18,117,0,117,Năm thứ tư,Mức 0, ,"FL0400,TOEIC 400;",Kỹ thuật điện tử - viễn thông,9,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20212,3.62,2.57,8,125,0,125,Năm thứ tư,Mức 0, ,"FL0400,TOEIC 400;",Kỹ thuật điện tử - viễn thông,10,e293ad84dbd5056fde753469754e71763ff5091a2cdf198804aff131593a865c
20171,1.64,1.64,10,10,4,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20172,1.5,1.58,11,21,4,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20181,2.24,2.05,21,46,0,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20182,1.33,1.85,15,61,3,64,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20191,1.04,1.74,9,72,8,80,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20192,3.38,2.02,12,84,5,89,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20201,3.21,2.25,21,105,5,110,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20202,3.5,2.49,19,124,2,128,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20211,3.53,2.67,17,143,0,143,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20212,4,2.77,12,155,0,155,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,10,5af60eae7c209ecd797a5a5150b26943951031cd5f12e5a63e52243a6e7c3b0b
20171,2.86,2.86,14,14,0,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20172,2.41,2.66,11,25,0,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20181,2.55,2.61,21,46,0,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20182,1.75,2.37,12,58,6,64,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20191,2.62,2.42,17,75,6,81,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20192,2.06,2.51,13,88,5,93,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20201,3.43,2.83,22,108,0,108,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20202,3.42,2.91,18,126,0,128,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20211,3.16,2.95,16,144,0,144,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20212,3.25,2.98,12,156,0,156,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,10,07bb1c392f948669779906af5d89147c50d67f325cc0337faf9513855199884a
20171,1.71,1.71,12,12,2,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20172,1.86,1.78,11,23,2,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20181,2.88,2.28,21,44,2,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20182,2.47,2.41,17,61,0,61,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20191,3.58,2.69,18,82,0,82,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20192,3.14,2.78,21,103,0,103,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20201,3.91,2.93,16,119,0,119,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20202,3.86,3.07,21,140,0,140,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20211,4,3.16,15,155,0,155,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,793e519d179636967c728dcefb6a9f74a5142232319cd4d2f08918fb1f083122
20171,1.86,1.86,14,14,0,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20172,1.73,1.8,11,25,0,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20181,1.67,1.74,19,44,2,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20182,0.9,1.53,9,53,8,61,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20191,1.53,1.61,11,67,11,78,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20192,0,1.35,0,67,24,93,Năm thứ ba,Mức 1,ED3220;, ,Kỹ thuật điện tử - viễn thông,6,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20201, ,1.35,0,67,26,93,Năm thứ ba,Mức 3, , ,Kỹ thuật điện tử - viễn thông,7,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20202, ,1.35,0,67,26,93,Năm thứ ba,Mức 3, , ,Kỹ thuật điện tử - viễn thông,8,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20211, ,1.35,0,67,26,93,Năm thứ ba,Mức 3, , ,Kỹ thuật điện tử - viễn thông,9,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20212, ,1.35,0,67,26,93,Năm thứ ba,Mức 3, , ,Kỹ thuật điện tử - viễn thông,10,06dfabdb4b410dd67b7d570d4d6e2ea45e1311580b3d7765b192fe27b1d385b3
20171,0.71,0.71,4,4,10,14,Năm thứ nhất,Mức 1, , ,Kỹ thuật điện tử - viễn thông,1,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20172,0.41,0.58,3,7,18,25,Năm thứ nhất,Mức 1, , ,Kỹ thuật điện tử - viễn thông,2,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20181,2.36,1.79,18,33,10,43,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20182,1.47,1.93,11,44,8,52,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20191,1.79,1.97,24,74,5,79,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20192,2.58,2.22,24,98,0,98,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20201,2.95,2.34,19,117,0,117,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20202,3.69,2.5,16,133,0,135,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20211,3.18,2.57,11,146,0,146,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20212,3.5,2.63,9,155,0,155,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,10,ee2b19d9a2ab6763398cedcd57517f047a353ee414472646d4af78cb76f270ff
20171,1.5,1.5,10,10,4,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20172,2.91,2.12,11,21,4,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20181,2.48,2.63,18,43,3,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20182,3.08,2.89,18,61,0,61,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20191,1.81,2.71,14,75,2,77,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20192,3.57,2.84,14,89,2,91,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20201,3.04,2.87,14,103,2,105,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20202,3,2.88,12,115,2,119,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20211,2.02,2.73,15,133,8,141,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20212,3.1,2.78,5,138,6,144,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,10,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20221,4,2.93,12,150,3,153,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,11,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20222,0,2.9,0,150,5,155,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,12,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20231, ,2.9,0,150,5,155,Năm thứ năm,Mức 2, , ,Kỹ thuật điện tử - viễn thông,13,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20232,0,2.86,0,150,7,157,Năm thứ năm,Mức 2, , ,Kỹ thuật điện tử - viễn thông,14,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20241, ,2.86,0,150,7,157,Năm thứ năm,Mức 3, , ,Kỹ thuật điện tử - viễn thông,15,75435ff1b99a8a70e7503b1a27f62333fa607b42c49813a522b191c265bc13e4
20171,0.86,0.86,4,4,10,14,Năm thứ nhất,Mức 1, , ,Kỹ thuật điện tử - viễn thông,1,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20172,1.86,1.3,11,15,10,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20181,1.67,1.77,18,39,7,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20182,1.16,1.67,16,55,9,64,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20191,2.37,1.9,19,74,6,80,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20192,1.9,2.02,17,91,3,94,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20201,3.86,2.36,21,112,3,115,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20202,3.47,2.51,18,130,3,135,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20211,3.91,2.79,17,155,0,155,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,fa5a226339885bed5ca5472e32d8ea38a97ab47fff4da8d4205ca0ddad71a75e
20171,2.14,2.14,14,14,0,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20172,1.64,1.92,9,23,2,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20181,2.81,2.29,18,41,2,43,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20182,2.26,2.36,17,58,0,58,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,4,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20191,1.67,2.2,12,70,6,76,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,5,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20192,2.53,2.26,14,84,9,93,Năm thứ ba,Mức 0, , ,Kỹ thuật điện tử - viễn thông,6,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20201,1.98,2.27,14,98,12,110,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,7,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20202,2.41,2.46,14,112,6,122,Năm thứ tư,Mức 0, , ,Kỹ thuật điện tử - viễn thông,8,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20211,2.8,2.54,20,134,8,142,Năm thứ năm,Mức 0, , ,Kỹ thuật điện tử - viễn thông,9,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20212,0,2.45,0,134,13,147,Năm thứ năm,Mức 1, , ,Kỹ thuật điện tử - viễn thông,10,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20221,0,2.45,0,134,13,147,Năm thứ năm,Mức 2, , ,Kỹ thuật điện tử - viễn thông,11,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20222,0,2.45,0,134,13,147,Năm thứ năm,Mức 3, , ,Kỹ thuật điện tử - viễn thông,12,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20231, ,2.45,0,134,13,147,Năm thứ năm,Mức 3, , ,Kỹ thuật điện tử - viễn thông,13,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20232, ,2.45,0,134,13,147,Năm thứ năm,Mức 3, , ,Kỹ thuật điện tử - viễn thông,14,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20241, ,2.45,0,134,13,147,Năm thứ năm,Mức 3, , ,Kỹ thuật điện tử - viễn thông,15,d0daa58475597ba8122aa48fbd610847aa6040d4abe0946953032ba1faf9b259
20171,2.93,2.93,14,14,0,14,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,1,fc33df38546d06ccc10f40b81ee9e42411ee3edc6457059a564c751be05ba63c
20172,2.59,2.78,11,25,0,25,Năm thứ nhất,Mức 0, , ,Kỹ thuật điện tử - viễn thông,2,fc33df38546d06ccc10f40b81ee9e42411ee3edc6457059a564c751be05ba63c
20181,2.84,2.77,19,46,0,46,Năm thứ hai,Mức 0, , ,Kỹ thuật điện tử - viễn thông,3,fc33df38546d06ccc10f40b81ee9e42411ee3edc6457059a564c751be05ba63c
